"";"study";"condition_arm1";"condition_arm2";"multi_arm1";"multi_arm2";"outcome_type";"instrument";"rating";"mean_arm1";"sd_arm1";"n_arm1";"mean_arm2";"sd_arm2";"n_arm2";"mean_change_arm1";"mean_change_arm2";"sd_change_arm1";"sd_change_arm2";"n_change_arm1";"n_change_arm2";"dich_paper";"event_arm1";"event_arm2";"totaln_arm1";"totaln_arm2";"precalc_g";"precalc_g_se";"precalc_log_rr";"precalc_log_rr_se";"other_stat";"bl_mean_arm1";"bl_sd_arm1";"bl_n_arm1";"bl_mean_arm2";"bl_sd_arm2";"bl_n_arm2";"rand_arm1";"rand_arm2";"attr_arm1";"attr_arm2";"year";"time_weeks";"time";"comorbid_mental";"format";"format_details";"n_sessions_arm1";"country";"age_group";"mean_age";"percent_women";"recruitment";"target_group";"rob";"rob_domain1";"rob_domain2";"rob_domain3";"rob_domain4";"rob_domain5";".id";".g";".g_se";"notes";"full_ref"
"1";"Abramowitz, 2009";"cbt";"wlc";NA;NA;"msd";"BSPS";"cr";21,72;7,32;11;28,6;3,56;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33,18;9,11;11;32,2;8,8;10;"11";"10";"0";"0";2009;8;"post";"n";"gsh";"gsh";"8";"North America";"adul";"43.4";0,76;"com";"adul";"Some concerns";"Some concerns";"Low";"Low";"Low";"Some concerns";"Abramowitz_2009_msd_BSPS_post_NA_cr_cbt_wlc_NA_NA";1,12932189289906;0,473136560320295;NA;"Abramowitz, J. S., Moore, E. L., Braddock, A. E., & Harrington, D. L. (2009). Self-help cognitive-behavioral therapy with minimal therapist contact for social phobia: a controlled trial. J Behav Ther Exp Psychiatry, 40(1), 98-105. https://doi.org/10.1016/j.jbtep.2008.04.004 "
"2";"Abramowitz, 2009";"cbt";"wlc";NA;NA;"msd";"SIAS";"self-report";40,81;16,34;11;52,2;12,74;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;58,81;12,44;11;52,6;10,29;10;"11";"10";"0";"0";2009;8;"post";"n";"gsh";"gsh";"8";"North America";"adul";"43.4";0,76;"com";"adul";"Some concerns";"Some concerns";"Low";"Low";"Low";"Some concerns";"Abramowitz_2009_msd_SIAS_post_NA_self-report_cbt_wlc_NA_NA";0,741581091078142;0,452898276106858;NA;"Abramowitz, J. S., Moore, E. L., Braddock, A. E., & Harrington, D. L. (2009). Self-help cognitive-behavioral therapy with minimal therapist contact for social phobia: a controlled trial. J Behav Ther Exp Psychiatry, 40(1), 98-105. https://doi.org/10.1016/j.jbtep.2008.04.004 "
"3";"Abramowitz, 2009";"cbt";"wlc";NA;NA;"msd";"STAI-trait";"self-report";49,63;13,72;11;50;5,89;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;56,9;8,64;11;53;5,05;10;"11";"10";"0";"0";2009;8;"post";"n";"gsh";"gsh";"8";"North America";"adul";"43.4";0,76;"com";"adul";"Some concerns";"Some concerns";"Low";"Low";"Low";"Some concerns";"Abramowitz_2009_msd_STAI-trait_post_NA_self-report_cbt_wlc_NA_NA";0,0330499490072489;0,43696374042093;NA;"Abramowitz, J. S., Moore, E. L., Braddock, A. E., & Harrington, D. L. (2009). Self-help cognitive-behavioral therapy with minimal therapist contact for social phobia: a controlled trial. J Behav Ther Exp Psychiatry, 40(1), 98-105. https://doi.org/10.1016/j.jbtep.2008.04.004 "
"4";"Anderson, 2013";"cbt";"wlc";"cbt (group)";"wlc";"msd";"FNE-B";"self-report";38,68;9,31;39;42,45;10,07;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;44,67;8,35;39;42,64;9,74;28;"39";"28";"5";"3";2013;8;"post";"n";"grp";"grp";"8";"North America";"adul";"39.03";0,619;"com";"adul";"High";"Low";"Low";"High";"Low";"Some concerns";"Anderson_2013_msd_FNE-B_post_NA_self-report_cbt_wlc_cbt(group)_wlc";0,386830844482815;0,249996679329327;NA;"Anderson, P. L., Price, M., Edwards, S. M., Obasaju, M. A., Schmertz, S. K., Zimand, E., & Calamaras, M. R. (2013). Virtual reality exposure therapy for social anxiety disorder: a randomized controlled trial. J Consult Clin Psychol, 81(5), 751-760. https://doi.org/10.1037/a0033559 "
"5";"Anderson, 2013";"cbt";"wlc";"cbt (VRET)";"wlc";"msd";"FNE-B";"self-report";39,47;10,7;30;42,45;10,07;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;41,73;10,22;30;42,64;9,74;28;"30";"28";"14";"3";2013;8;"post";"n";"Mixed/oth";"grp + vr";"8";"North America";"adul";"39.03";0,619;"com";"adul";"High";"Low";"Low";"High";"Low";"Some concerns";"Anderson_2013_msd_FNE-B_post_NA_self-report_cbt_wlc_cbt(VRET)_wlc";0,282656098573649;0,26411224227209;NA;"Anderson, P. L., Price, M., Edwards, S. M., Obasaju, M. A., Schmertz, S. K., Zimand, E., & Calamaras, M. R. (2013). Virtual reality exposure therapy for social anxiety disorder: a randomized controlled trial. J Consult Clin Psychol, 81(5), 751-760. https://doi.org/10.1037/a0033559 "
"6";"Anderson, 2013";"cbt";"wlc";"cbt (group)";"wlc";"msd";"PRCS";"self-report";14,79;8,53;39;23,57;4,28;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25,59;2,59;39;24,53;2,73;28;"39";"28";"5";"3";2013;8;"post";"n";"grp";"grp";"8";"North America";"adul";"39.03";0,619;"com";"adul";"High";"Low";"Low";"High";"Low";"Some concerns";"Anderson_2013_msd_PRCS_post_NA_self-report_cbt_wlc_cbt(group)_wlc";1,22550523269277;0,26986565151561;NA;"Anderson, P. L., Price, M., Edwards, S. M., Obasaju, M. A., Schmertz, S. K., Zimand, E., & Calamaras, M. R. (2013). Virtual reality exposure therapy for social anxiety disorder: a randomized controlled trial. J Consult Clin Psychol, 81(5), 751-760. https://doi.org/10.1037/a0033559 "
"7";"Anderson, 2013";"cbt";"wlc";"cbt (VRET)";"wlc";"msd";"PRCS";"self-report";16,23;7,61;30;23,57;4,28;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;24,37;2,54;30;24,53;2,73;28;"30";"28";"14";"3";2013;8;"post";"n";"Mixed/oth";"grp + vr";"8";"North America";"adul";"39.03";0,619;"com";"adul";"High";"Low";"Low";"High";"Low";"Some concerns";"Anderson_2013_msd_PRCS_post_NA_self-report_cbt_wlc_cbt(VRET)_wlc";1,16217989172676;0,284624272984466;NA;"Anderson, P. L., Price, M., Edwards, S. M., Obasaju, M. A., Schmertz, S. K., Zimand, E., & Calamaras, M. R. (2013). Virtual reality exposure therapy for social anxiety disorder: a randomized controlled trial. J Consult Clin Psychol, 81(5), 751-760. https://doi.org/10.1037/a0033559 "
"8";"Andersson, 2006";"cbt";"wlc";NA;NA;"msd";"BAI";"self-report";8,7;5,8;32;13,6;10,3;32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,6;7,3;32;13,2;6,6;32;"32";"32";"2";"0";2006;9;"post";"n";"Mixed/oth";"gsh + grp";"11";"Europe";"adul";"37.299999999999997";0,516;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Andersson_2006_msd_BAI_post_NA_self-report_cbt_wlc_NA_NA";0,579107409206834;0,255313269249379;NA;"Andersson, G., Carlbring, P., Holmstrom, A., Sparthan, E., Furmark, T., Nilsson-Ihrfelt, E., Buhrman, M., & Ekselius, L. (2006). Internet-based self-help with therapist feedback and in vivo group exposure for social phobia: a randomized controlled trial. J Consult Clin Psychol, 74(4), 677-686. https://doi.org/10.1037/0022-006x.74.4.677 "
"9";"Andersson, 2006";"cbt";"wlc";NA;NA;"msd";"LSAS-SR";"self-report";45,6;25,1;32;62,8;21,7;32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;68,5;22,5;32;66,7;20,9;32;"32";"32";"2";"0";2006;9;"post";"n";"Mixed/oth";"gsh + grp";"11";"Europe";"adul";"37.299999999999997";0,516;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Andersson_2006_msd_LSAS-SR_post_NA_self-report_cbt_wlc_NA_NA";0,724206439163866;0,258261180425793;NA;"Andersson, G., Carlbring, P., Holmstrom, A., Sparthan, E., Furmark, T., Nilsson-Ihrfelt, E., Buhrman, M., & Ekselius, L. (2006). Internet-based self-help with therapist feedback and in vivo group exposure for social phobia: a randomized controlled trial. J Consult Clin Psychol, 74(4), 677-686. https://doi.org/10.1037/0022-006x.74.4.677 "
"10";"Andersson, 2006";"cbt";"wlc";NA;NA;"msd";"PRCS";"self-report";22,7;5,4;32;25,5;4,8;32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25,5;4,2;32;25,9;3,5;32;"32";"32";"2";"0";2006;9;"post";"n";"Mixed/oth";"gsh + grp";"11";"Europe";"adul";"37.299999999999997";0,516;"com";"adul";"Some concerns";"Low";"Low";"Some concerns";"Low";"Some concerns";"Andersson_2006_msd_PRCS_post_NA_self-report_cbt_wlc_NA_NA";0,541415457452693;0,254650237178408;NA;"Andersson, G., Carlbring, P., Holmstrom, A., Sparthan, E., Furmark, T., Nilsson-Ihrfelt, E., Buhrman, M., & Ekselius, L. (2006). Internet-based self-help with therapist feedback and in vivo group exposure for social phobia: a randomized controlled trial. J Consult Clin Psychol, 74(4), 677-686. https://doi.org/10.1037/0022-006x.74.4.677 "
